date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:55:19	25202/25202	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22639c36b5-6272%22	https://fenture.io/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js?ver=1.0.1	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.minf269.js	(from https://fenture.io/)
01:55:19	190015/-1	---M--	200	added ('OK')	application/json	date:Fri,%2006%20Oct%202023%2020:25:14%20GMT	https://fenture.io/wp-json/	/home/adrish/websites/Vestivado/fenture.io/wp-json/index.html	(from https://fenture.io/)
01:55:20	4957/4957	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22639c32d2-135d%22	https://fenture.io/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.9.1	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor/assets/js/webpack.runtime.mina560.js	(from https://fenture.io/)
01:55:20	5299/5299	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22639c36b5-14b3%22	https://fenture.io/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.9.1	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.mina560.js	(from https://fenture.io/)
01:55:20	211640/211640	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22639c32d2-33ab8%22	https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.16.0	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.eot	(from https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
01:55:20	31522/31522	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22639c32d2-7b22%22	https://fenture.io/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.9.1	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor/assets/js/frontend-modules.mina560.js	(from https://fenture.io/)
01:55:21	93372/93372	---M--	200	added ('OK')	font/woff2	etag:%22639c32d2-16cbc%22	https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.16.0	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.woff2	(from https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
01:55:22	8171/8171	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%226424ae64-1feb%22	https://fenture.io/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2	/home/adrish/websites/Vestivado/fenture.io/wp-includes/js/dist/vendor/wp-polyfill-inert.min0226.js	(from https://fenture.io/)
01:55:22	4627/4627	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2264d2b4a5-1213%22	https://fenture.io/wp-includes/js/dist/hooks.min.js?ver=c6aec9a8d4e5a5d543a1	/home/adrish/websites/Vestivado/fenture.io/wp-includes/js/dist/hooks.min2ebd.js	(from https://fenture.io/)
01:55:22	6607/6607	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%226424ae64-19cf%22	https://fenture.io/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.11	/home/adrish/websites/Vestivado/fenture.io/wp-includes/js/dist/vendor/regenerator-runtime.min8fa4.js	(from https://fenture.io/)
01:55:22	16146/16146	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2264d2b4a5-3f12%22	https://fenture.io/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	/home/adrish/websites/Vestivado/fenture.io/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://fenture.io/)
01:55:24	114280/114280	---M--	200	added ('OK')	font/woff	etag:%22639c32d2-1be68%22	https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.16.0	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.woff	(from https://fenture.io/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
01:55:24	12198/12198	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22639c32d2-2fa6%22	https://fenture.io/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	/home/adrish/websites/Vestivado/fenture.io/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://fenture.io/)
01:55:24	9445/9445	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%2264d2b4a5-24e5%22	https://fenture.io/wp-includes/js/dist/i18n.min.js?ver=7701b0c3857f914212ef	/home/adrish/websites/Vestivado/fenture.io/wp-includes/js/dist/i18n.minf92f.js	(from https://fenture.io/)
